Repository,Commit Hash,Severity_High,Severity_Medium,Severity_Low,Confidence_High,Confidence_Medium,Confidence_Low,CWE_Counts
activitywatch,01b3fb4468156f3f8ba95e5495eaad4ded1f706b,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,038d48a656845f76327234ff05bbbb1f28941654,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,04fbfacbea41650c961f39550516a893602e658d,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,0520dd0727f261214742c98398f5e471bf7c6b70,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,05a8a40e83bd102ad07f0cb34a9b69ac0ba9e5bc,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,05b6646095b8ee8579e3f1a2e1d9ce61f056933b,8,33,623,650,11,3,"{""78"": 78, ""400"": 2, ""703"": 516, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,065aaa26120a61c62bc56db17888df0502c5d728,8,33,623,650,11,3,"{""78"": 78, ""400"": 2, ""703"": 516, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,08ad2bece85fb828eb434395747225ae7552cd84,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,0951338520215ee6fe9c4a337a628f1826224831,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,10dfeda91c5202a635290c1b3718f3a1537735bf,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,11773ad5a498f372efc4b25c895322e10803a023,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,127020953f960e101093dade56510e1480eec024,8,33,623,650,11,3,"{""78"": 78, ""400"": 2, ""703"": 516, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,13d957f77904cbea6df8d8f0db95f23605522e27,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,18b01d95ff59fee7f0d11c33ba21245079cf5704,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,1b7546b6915bcbd4408c5491192e4de4cd1831bb,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,20649af0b74335635999de47272baf570b1a5bff,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,21579d70bfe9f15040b29d4095ef1a11189045a9,8,33,623,650,11,3,"{""78"": 78, ""400"": 2, ""703"": 516, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,26fe7791da22fed016934526f51dd7121cd01dc6,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,2a94a5707cc39c4ddfa31ab5a4d501266b860378,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,2c0216d6ed8a0b54d9614bcba49fdb8dd22168b8,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,2c4a97632acf1e4c8eff57c6ba69d15a403a9aa5,8,33,623,650,11,3,"{""78"": 78, ""400"": 2, ""703"": 516, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
activitywatch,2d448719222c4703e3ed4969d1d0b53ef8485f48,8,33,626,653,11,3,"{""78"": 80, ""400"": 2, ""703"": 517, ""20"": 17, ""259"": 10, ""330"": 22, ""502"": 6, ""327"": 6, ""22"": 5, ""377"": 2}"
