Module,Fan-In,Fan-Out
__main__,0,78
charset_normalizer,2,0
charset_normalizer.constant,1,0
httpie,36,0
httpie.__main__,2,3
httpie.adapters,3,5
httpie.cli,15,0
httpie.cli.argparser,3,18
httpie.cli.argtypes,6,2
httpie.cli.constants,10,0
httpie.cli.definition,4,12
httpie.cli.dicts,7,0
httpie.cli.exceptions,3,0
httpie.cli.nested_json,4,3
httpie.cli.nested_json.errors,4,1
httpie.cli.nested_json.interpret,2,3
httpie.cli.nested_json.parse,2,2
httpie.cli.nested_json.tokens,5,0
httpie.cli.options,5,4
httpie.cli.requestitems,2,6
httpie.cli.utils,2,0
httpie.client,2,18
httpie.compat,11,2
httpie.config,3,3
httpie.context,22,11
httpie.cookies,3,0
httpie.core,4,22
httpie.downloads,2,8
httpie.encoding,6,2
httpie.internal,5,0
httpie.internal.__build_channel__,2,0
httpie.internal.daemon_runner,2,5
httpie.internal.daemons,2,4
httpie.internal.update_warnings,4,7
httpie.legacy,3,0
httpie.legacy.v3_1_0_session_cookie_format,3,2
httpie.legacy.v3_2_0_session_header_format,3,2
httpie.manager,6,0
httpie.manager.__main__,1,9
httpie.manager.cli,5,4
httpie.manager.compat,2,2
httpie.manager.core,2,6
httpie.manager.tasks,3,7
httpie.manager.tasks.check_updates,2,5
httpie.manager.tasks.export_args,2,8
httpie.manager.tasks.plugins,2,11
httpie.manager.tasks.sessions,2,10
httpie.models,7,7
httpie.output,14,0
httpie.output.formatters,4,0
httpie.output.formatters.colors,4,21
httpie.output.formatters.headers,2,1
httpie.output.formatters.json,2,2
httpie.output.formatters.xml,2,2
httpie.output.lexers,5,0
httpie.output.lexers.common,3,0
httpie.output.lexers.http,2,5
httpie.output.lexers.json,3,5
httpie.output.lexers.metadata,2,6
httpie.output.models,3,8
httpie.output.processing,3,3
httpie.output.streams,3,5
httpie.output.ui,8,0
httpie.output.ui.man_pages,2,2
httpie.output.ui.palette,5,0
httpie.output.ui.rich_help,2,13
httpie.output.ui.rich_palette,3,7
httpie.output.ui.rich_progress,2,6
httpie.output.ui.rich_utils,1,7
httpie.output.utils,2,3
httpie.output.writer,3,9
httpie.plugins,13,1
httpie.plugins.base,4,0
httpie.plugins.builtin,3,3
httpie.plugins.manager,3,5
httpie.plugins.registry,8,8
httpie.sessions,6,15
httpie.ssl_,4,5
httpie.status,10,0
httpie.uploads,2,6
httpie.utils,15,4
pygments,16,2
pygments.formatters,2,3
pygments.formatters.terminal,1,3
pygments.formatters.terminal256,1,2
pygments.lexer,5,3
pygments.lexers,4,3
pygments.lexers.data,3,3
pygments.lexers.special,1,4
pygments.lexers.text,1,3
pygments.style,2,2
pygments.styles,2,3
pygments.token,7,0
pygments.util,7,0
requests,14,5
requests.__version__,3,0
requests.adapters,1,6
requests.auth,4,2
requests.cookies,4,0
requests.utils,5,5
rich,13,2
rich.console,10,5
rich.filesize,2,0
rich.highlighter,5,2
rich.padding,2,3
rich.progress,1,7
rich.style,7,1
rich.table,3,7
rich.text,6,3
rich.theme,2,1
urllib3,7,2
urllib3.util,6,1
urllib3.util.ssl_,3,0
